tag,avg_rating,rating_count
top 10 ever,5.0,10
all time favorites,4.96875,16
delights,4.967741935483871,31
best movies ever,4.961538461538462,13
influencial,4.954545454545454,11
top,4.95,10
best,4.921052631578948,19
dream like reality,4.909090909090909,11
5 stars,4.863636363636363,22
best movie ever,4.863636363636363,55
favorite,4.844387755102041,196
my favourite,4.818181818181818,11
perfect,4.815789473684211,38
steamy gay movie,4.809523809523809,21
super interesting,4.8076923076923075,13
transcendent,4.8,15
wonderful,4.797297297297297,37
amazing!,4.791666666666667,12
this is the archetypal 'good sci-fi action' movie. it simply doesn't get better than this.,4.769230769230769,13
must watch,4.75,18
christopher nolanï¼œbatman,4.75,14
human story,4.75,12
jóhann jóhannsson,4.7272727272727275,11
amazing dialogues,4.725806451612903,31
mind-blowing,4.722222222222222,18
the classic sci fi movie. must see.,4.705882352941177,17
non-verbal,4.705882352941177,17
great meaning,4.7,10
exciting plot,4.7,15
one of the best movies ever,4.6923076923076925,13
emotional comfort,4.6875,32
inspirational ending,4.681818181818182,11
connection,4.68,25
humane,4.68,25
galactic,4.678571428571429,14
life changing,4.670454545454546,44
brilliant,4.669117647058823,136
bonded characters,4.666666666666667,18
excellent soundtracks,4.666666666666667,15
critique,4.666666666666667,12
space physics,4.661764705882353,34
best picture,4.657894736842105,19
comming of age,4.653846153846154,13
excellent,4.653846153846154,39
patience,4.653846153846154,13
awe inspiring,4.653846153846154,13
incredible,4.65,10
classic adventure,4.65,10
do kupienia,4.65,30
pychological,4.649122807017544,57
special,4.6477272727272725,44
palahnuik,4.647058823529412,17
royal with cheese,4.642857142857143,14
masterpiece,4.637281910009182,1089
awesome,4.635135135135135,185
robert shaw,4.633333333333334,15
love for nature,4.633333333333334,15
great writing,4.626470588235295,170
classic mafia,4.625,12
viggo mortensen/christina ricci,4.625,12
quintessential,4.625,12
great screenplay,4.621495327102804,107
great movie,4.611940298507463,67
great storytelling,4.607142857142857,14
eye opener,4.605263157894737,19
visual effect,4.605263157894737,38
writer: j.r.r. tolkien,4.603448275862069,29
sweet!,4.6,10
very moving,4.6,15
amazing,4.598039215686274,51
breathtaking,4.595505617977528,89
ahead of its time,4.595238095238095,42
complex relationship,4.595238095238095,21
author:jane austen,4.594594594594595,37
yasujiro ozu,4.59375,16
existentialist,4.59375,16
groundbreaking,4.59375,32
classic romance,4.590909090909091,22
vangelis,4.590909090909091,44
interesting ideea,4.590361445783133,83
superb soundtrack,4.589285714285714,28
avant-garde romantic comedy,4.588235294117647,17
intricate,4.584745762711864,59
nail biter,4.583333333333333,18
must see!,4.583333333333333,24
amazing storytelling,4.58235294117647,85
jodorowsky,4.58,25
mitchel classic,4.578947368421052,19
jerry goldsmith,4.576923076923077,13
must see,4.572625698324022,179
classic movie,4.571428571428571,14
energetic,4.571428571428571,14
traumatic childhood,4.571428571428571,14
yann tiersen,4.571428571428571,14
strong debut,4.571428571428571,14
mesmerizing,4.568181818181818,22
need to own,4.567708333333333,96
very interesting,4.5675675675675675,37
depth,4.566666666666666,15
lovable,4.565217391304348,23
need to buy,4.564516129032258,31
retro 80's typeset,4.5625,16
tarantino is god,4.5625,16
director: peter jackson,4.5625,16
good science,4.561776061776062,259
great quotes,4.560975609756097,41
black holes,4.56,25
no monsters,4.5588235294117645,17
regency england,4.55,10
tamil,4.55,20
stunning photography,4.55,20
superb acting,4.55,20
cerebral sci-fi,4.548245614035087,114
sounds,4.546153846153846,65
buy,4.545454545454546,33
cat stevens,4.545454545454546,11
superb,4.545454545454546,11
laugh out loud any time movie,4.545454545454546,11
sense of awe,4.544303797468355,79
personal insight,4.543478260869565,23
endearing,4.541666666666667,12
tough chick,4.541666666666667,12
well-paced,4.540322580645161,62
oscars nominee,4.535714285714286,14
excellent use of dialogue,4.534722222222222,72
depth of emotion,4.5344827586206895,29
intelligent scifi,4.534090909090909,44
father and daughter story,4.533333333333333,15
good science fictional technology,4.533333333333333,15
great dialogues,4.530612244897959,49
rewatch worthy,4.5285714285714285,105
mind-bending,4.527777777777778,18
tasteful,4.527777777777778,18
amazing artwork,4.527027027027027,74
dystopian world,4.525,20
philosopical,4.525,20
joseph campbell's study of mythology influenced,4.523255813953488,43
human emotion,4.5227272727272725,22
ending rocks,4.518518518518518,27
joe hisaishi,4.518518518518518,27
greatness,4.515625,32
david attenborough,4.515151515151516,33
very good,4.514925373134329,67
door to the different world,4.512820512820513,39
non-conventional love stroy,4.5125,40
great sountrack,4.5125,120
societal criticism,4.511363636363637,88
powerful ending,4.510606060606061,990
favorites,4.509615384615385,104
made me cry,4.5078125,64
bong joon-ho,4.506849315068493,73
no traditional villain,4.5,31
very touching,4.5,12
brave,4.5,18
brain teaser,4.5,25
chosen family,4.5,10
eye-opening,4.5,23
amazing soundtrack,4.5,93
classic hollywood,4.5,15
multi-level,4.5,24
general relativity,4.5,10
author:ken kesey,4.5,10
metaphysical,4.5,12
zizek,4.5,14
oppressive government,4.5,18
brilliant writing,4.5,16
inspiration for life,4.5,13
bo burnham,4.5,38
plain fun,4.5,18
tradegic romance,4.5,10
mamoru oshii,4.5,11
fantastic editing,4.5,12
great,4.5,47
anti-capitalism,4.5,27
not really a horror movie,4.5,11
rewatch,4.5,63
damián szifrón,4.5,11
manipulations,4.5,44
strong theme,4.5,12
doug jones,4.5,10
epic adventure,4.496732026143791,306
mindblowing,4.493243243243243,74
shocking ending,4.491666666666666,60
touching story,4.490566037735849,53
aesthetic science fiction,4.48936170212766,47
indie music,4.482758620689655,29
good plot twists,4.482758620689655,29
the twists in the plot,4.482142857142857,28
good dialogs,4.482142857142857,28
romantic but not cheesy,4.482142857142857,56
spiritual awakening,4.482142857142857,28
challenging,4.482142857142857,28
spy drama,4.480769230769231,26
animated masterpiece,4.48,25
damien chazelle,4.48,50
form and content,4.478260869565218,23
very clever,4.4772727272727275,22
excellent soundscore,4.4772727272727275,22
absorbing,4.477011494252873,87
rewatchable,4.475,20
socially relevant,4.475,20
achronological,4.472222222222222,18
strong characters,4.472222222222222,18
subtle performances,4.472222222222222,18
intelligent sc-fi,4.4714285714285715,70
christoper nolan,4.470588235294118,34
great dialogue,4.469879518072289,747
delorean,4.46969696969697,33
great story,4.468164794007491,267
incredible 3d,4.466666666666667,15
peaceful,4.466666666666667,15
excellent script,4.4660751565762,958
soundtrack: hans zimmer,4.4655172413793105,29
makes you think,4.465217391304348,115
boxing story,4.464285714285714,14
great actor,4.464285714285714,14
thoughtful sci-fi,4.464102564102564,390
sci-fi classic,4.463636363636364,55
multiple interpretations,4.462732919254658,161
impredictable,4.461538461538462,13
philip k. dick (uncredited),4.461538461538462,13
superhuman intelligence,4.461538461538462,13
top-notch special effects,4.461538461538462,13
realisitc acting,4.46,25
robert bresson,4.458333333333333,12
evolving plotline,4.458333333333333,12
age of sail,4.456521739130435,23
kurosawa,4.455882352941177,68
good dialogue,4.455250596658711,838
deniro,4.454545454545454,11
hayley mills,4.454545454545454,11
unpretentious,4.454545454545454,11
wacky humor,4.454545454545454,11
extremely creative,4.454545454545454,11
excellent historical depiction,4.454545454545454,11
spectacular cg,4.454545454545454,11
h. r. giger,4.452830188679245,53
oscar nominee: sound mixing,4.4523809523809526,21
endurance,4.4523809523809526,21
meta referential,4.451612903225806,31
excellent costumes,4.45,20
good dialogues,4.45,10
i wanted to hug this movie,4.45,20
amazing cast,4.45,10
east vs west,4.45,10
foreign language film,4.45,10
raymond chandler,4.45,10
aesthetically pleasing,4.45,30
insightful,4.448979591836735,98
anti conformity,4.448275862068965,29
heroic journey,4.448275862068965,29
great actors,4.447368421052632,19
deep,4.447115384615385,104
shane carruth,4.446428571428571,28
nuanced,4.445454545454545,55
intelligent,4.4453424074861765,2351
multifaceted,4.444444444444445,18
satoshi kon,4.443181818181818,88
blended genres,4.4411764705882355,17
food for thought,4.4411764705882355,17
message of hope,4.4411764705882355,17
time relationships,4.4411764705882355,17
joseph cotten,4.4411764705882355,17
murphy's law,4.4411764705882355,17
excellent animation,4.44,25
(s)vcd,4.4393939393939394,33
meaningful,4.438775510204081,49
excellent dialogue,4.436507936507937,63
dreamy,4.4363636363636365,55
captivating,4.436274509803922,102
andrei tarkovsky,4.435185185185185,108
great cinematograhy,4.433333333333334,30
kusturica,4.433333333333334,15
nietzche,4.431818181818182,22
relativity,4.431192660550459,218
alternate universes,4.431034482758621,29
emotionally captivating,4.430555555555555,72
epic battles,4.430232558139535,43
alec guiness,4.428571428571429,14
big themes,4.428571428571429,14
deep meaning,4.428571428571429,56
profound,4.425925925925926,27
philosophy,4.425445705024311,2468
strong soundtrack,4.425,20
john williams music,4.425,20
hayao miyazaki,4.423469387755102,784
want it,4.423076923076923,39
brian wilson,4.423076923076923,13
author:john le carrã©,4.423076923076923,13
carpe diem,4.423076923076923,39
good writing,4.422413793103448,58
hogwarts,4.421875,32
great direction,4.421875,64
wong kar wai,4.421568627450981,51
philip glass,4.421052631578948,38
favourite,4.421052631578948,19
writer: jordan peele,4.421052631578948,19
makes good points,4.419642857142857,56
transformative performance,4.419354838709677,31
psychology and the nature of reality,4.419354838709677,31
philip k dick,4.416666666666667,24
pure entertainment,4.416666666666667,12
lost civilisation,4.416666666666667,12
exquisite plotting.,4.416666666666667,18
twist end,4.416666666666667,24
thought ptrovoking,4.416666666666667,12
i'm something of a scientist myself,4.416666666666667,12
escape to reality,4.416666666666667,12
complex characters,4.414312617702448,531
surprising ending,4.414285714285715,35
asghar farhadi,4.414285714285715,35
great ending,4.413145539906103,1491
technically impressive,4.413043478260869,23
intertwining storylines,4.411764705882353,34
director: jordan peele,4.411764705882353,17
bad ass,4.411764705882353,17
ambiguous character alignments,4.411764705882353,34
inspirational,4.411405650505755,2867
amazing cinematography,4.410204081632653,245
way of life,4.409090909090909,11
park chan wook,4.409090909090909,11
desert island flicks,4.409090909090909,11
credible,4.409090909090909,11
influenced by h.p. lovecraft,4.409090909090909,11
great sound,4.409090909090909,22
dead nazis,4.409090909090909,44
multiple languages,4.409090909090909,33
clint mansel,4.409090909090909,11
near death,4.409090909090909,11
twisted murder,4.409090909090909,11
colourful sets,4.4071428571428575,70
director: denis villeneuve,4.40625,16
philosophical issues,4.405038759689923,258
strong femal lead,4.404761904761905,42
creative process,4.404761904761905,21
enlightening,4.404761904761905,21
genuinely scary,4.404255319148936,47
smart,4.403916768665851,817
cav,4.403225806451613,31
iconic,4.403225806451613,93
very funny,4.40234375,128
wisdom,4.4,50
force,4.4,10
reality warping,4.4,10
a spike lee joint,4.4,20
human relationship,4.4,10
serious topics,4.4,25
top documentary,4.4,10
parting,4.4,10
hannibal lector,4.4,15
sophisticated,4.4,25
pathos,4.4,10
last of series,4.4,10
shane meadows,4.4,15
special police forces,4.4,15
glam,4.4,10
esoteric plotlines,4.4,10
slight romance,4.4,10
robot love,4.4,10
well written,4.399408284023669,169
intelligent sci-fi,4.399280575539568,139
snappy dialog,4.397435897435898,39
memorable characters,4.396825396825397,63
social control,4.396551724137931,29
change the world,4.395833333333333,24
sci-fi elements,4.394736842105263,19
smart writing,4.394366197183099,71
hero's journey,4.393939393939394,99
atmospherically beautiful,4.393939393939394,33
thought-provoking,4.393509262961482,7503
great screenplays,4.3933333333333335,75
genetic selection,4.392857142857143,42
great actress,4.392857142857143,14
conflict over resources,4.392857142857143,14
marty feldman,4.392857142857143,14
beautiful colors,4.391752577319588,97
compelling,4.391666666666667,60
fantastic conclusion,4.391304347826087,23
meticulous,4.390410958904109,73
gorgeous animation,4.3893129770992365,131
andre the giant,4.388888888888889,27
relaxing,4.388888888888889,27
great characters,4.388571428571429,175
human computer interaction,4.387096774193548,62
avante garde,4.386363636363637,22
breakthroughs,4.386363636363637,44
cultural criticism,4.386363636363637,22
hilarious comedy,4.386363636363637,22
wallace shawn,4.384615384615385,13
toni servillo,4.384615384615385,13
whacked,4.384615384615385,26
boheme,4.384615384615385,13
j. r. r. tolkein,4.384615384615385,13
tony leung chiu wai,4.384615384615385,13
great aliens,4.384615384615385,39
mind bending,4.382621951219512,328
riveting,4.382352941176471,34
bucky barnes,4.382352941176471,17
noam chomsky,4.382352941176471,17
gainax,4.382352941176471,17
mind blowing,4.382352941176471,17
energizing,4.381578947368421,38
philosophical,4.380072463768116,2760
emotion!,4.379310344827586,29
charlie kaufman,4.378737541528239,301
notable soundtrack,4.377896613190731,561
intellectual,4.37749120750293,853
ingmar bergman,4.377483443708609,151
well constructed,4.376712328767123,73
oscar nominee: production design,4.375,20
attachment,4.375,12
difference,4.375,12
good adaptation of the book,4.375,12
kenneth lonergan,4.375,12
larry clark,4.375,12
charismatic characters,4.375,20
complex story,4.375,32
dark fairytale,4.375,12
1980's cult,4.375,28
use of music,4.375,20
christopher nolan,4.374190938511327,1236
psychothriller,4.374133949191686,433
blue,4.372340425531915,47
francis ford coppola,4.371794871794871,156
chilling,4.370967741935484,31
great script,4.370967741935484,62
personal growth,4.369565217391305,46
edward snowden,4.368421052631579,38
visualy apealing,4.368421052631579,19
emotional intelligence,4.368421052631579,19
academy award winner,4.368421052631579,19
toplist16,4.366666666666666,15
carol reed,4.366666666666666,15
inspiring,4.365889212827988,686
great acting,4.365607963972505,4219
modern classic,4.365384615384615,26
almost favorite,4.364864864864865,37
cinematograpy:roger deakins,4.364864864864865,37
unpredictable,4.3647175421209115,1009
better than the american version,4.364583333333333,48
drug rehabilitation,4.363636363636363,11
ken burns,4.363636363636363,11
nature gods,4.363636363636363,22
good story,4.362445414847161,229
federico fellini,4.361702127659575,47
dream-like,4.361111111111111,18
bbc,4.361111111111111,18
toplist06,4.361111111111111,18
best war films,4.359154929577465,71
rainy day watchlist,4.358974358974359,78
nicola tesla,4.358695652173913,46
sergio leone,4.3585365853658535,205
game theory,4.358108108108108,74
interesting creature designs,4.357142857142857,14
r. lee ermey,4.357142857142857,14
technical brilliance,4.357142857142857,14
oscar nominee: best picture 1994,4.357142857142857,14
complex relationships,4.35655737704918,122
lovable characters,4.354838709677419,31
social classes,4.3538461538461535,65
gypsy accent,4.352941176470588,34
great songs,4.352941176470588,17
top 250 imdb,4.352941176470588,17
heart warming,4.352941176470588,17
historical romance,4.352941176470588,17
fantastic,4.3522727272727275,44
motivation,4.351955307262569,179
stunning,4.3515625,64
epic,4.3515420805018294,1913
thought provoking,4.351099830795262,591
interwoven storylines,4.35,10
bernadette peters,4.35,10
enviromental,4.35,10
juliusz machulski,4.35,10
"believable, spontaneous acting",4.35,30
pornographer,4.35,10
wonder,4.35,10
beautifully filmed,4.34994640943194,933
hans zimmer,4.348859315589354,526
odd sense of humor,4.348739495798319,119
always watch it when it's on tv,4.3478260869565215,23
power of hope,4.3478260869565215,23
psychedellic,4.3478260869565215,46
stasi,4.346938775510204,49
ancient evil,4.346153846153846,13
space-time,4.346153846153846,13
carl sagan,4.346153846153846,52
quotes,4.346153846153846,26
liv ullmann,4.346153846153846,26
imaginative,4.3454231433506045,579
anti-authoritarian,4.345070422535211,71
oscar (best animated feature),4.344262295081967,122
bittersweet funny characters,4.34375,16
highly quotable,4.342307692307692,520
immersive,4.341981132075472,212
garage band,4.340909090909091,22
retro 80's synth pop,4.340909090909091,44
beautiful visuals,4.340277777777778,216
80's high fantasy,4.34,25
great performances,4.339677891654466,683
radical politics,4.338235294117647,34
chuck palahniuk,4.3375,40
human potential,4.337349397590361,83
aesthetic,4.335714285714285,70
cultural references,4.335616438356165,73
smart action,4.3355263157894735,76
linguistics,4.3352941176470585,170
complicated,4.334319526627219,1352
toplist07,4.333333333333333,30
heartache,4.333333333333333,15
jonathan pryce,4.333333333333333,18
power of belief,4.333333333333333,18
krzysztof kieslowski,4.333333333333333,12
best of 2005,4.333333333333333,24
felicia day,4.333333333333333,12
computer paranoia,4.333333333333333,12
anticonformism,4.333333333333333,27
safdie brothers,4.333333333333333,15
buddhist,4.333333333333333,30
twist-ending,4.333333333333333,12
paolo sorrentino,4.333333333333333,27
bluegrass,4.333333333333333,33
the up series,4.333333333333333,15
coke,4.333333333333333,12
getting older,4.333333333333333,12
mr. rogers neighborhood,4.333333333333333,12
princesses,4.333333333333333,15
excellent acting,4.330708661417323,254
time-travel,4.329787234042553,188
taika waititi,4.328571428571428,175
clever,4.328158458244111,1868
revolutionary,4.327956989247312,93
classic,4.3278587739329,5693
great soundtrack,4.327672431756616,4799
character is genius,4.326923076923077,26
diverse characters,4.326086956521739,23
legendary,4.326086956521739,23
good plot,4.326086956521739,92
unpredictable ending,4.325842696629214,178
character depth,4.325581395348837,43
mature kids,4.325,20
strong & silent type,4.325,20
relatable,4.323529411764706,34
beautiful,4.323480083857443,2385
touching,4.322847682119205,2114
the fall of the berlin wall,4.32258064516129,31
awesome soundtrack,4.32258064516129,155
perfection,4.321428571428571,14
bob fosse,4.321428571428571,14
parental love,4.321428571428571,14
funny!,4.321428571428571,14
leos carax,4.321428571428571,14
reflective,4.320451843043995,841
complex morality,4.3203125,64
interstellar trip,4.32,25
sci-fi satire,4.32,25
visually striking,4.319298245614035,285
toshiro mifune,4.318548387096774,124
realistic action,4.318471337579618,314
semi autobiographical,4.318181818181818,11
better than original,4.318181818181818,11
microcosmic view of power structures,4.318181818181818,11
a classic,4.318181818181818,11
excellent cinematography,4.318181818181818,77
eco,4.318181818181818,11
colourful apocalypse,4.318181818181818,55
tony leung,4.318181818181818,11
fantastic foreign films,4.318181818181818,11
hideaki anno,4.318181818181818,22
class themes,4.31767955801105,181
the south,4.316666666666666,30
genius,4.316037735849057,848
action-filled,4.315789473684211,19
perseverance,4.314814814814815,54
brad bird,4.314814814814815,27
funniest movies,4.314285714285714,70
on race,4.313953488372093,43
intelligent thriller,4.313492063492063,126
thoughtful,4.313291139240507,316
chinese languge,4.3125,16
altman,4.3125,16
emotional,4.312185478073329,2782
calm,4.311111111111111,45
pelis1,4.31,100
turing test,4.3097345132743365,113
studio ghibli,4.309649122807017,1140
one set,4.309523809523809,21
watch again,4.309523809523809,42
cormac mccarthy,4.3090909090909095,55
george carlin,4.3088235294117645,34
quotable dialogue,4.3088235294117645,34
attention to detail,4.308219178082192,73
edgar wright,4.308219178082192,219
intense,4.307868252516011,2186
character evolution,4.3076923076923075,39
modern war,4.3076923076923075,13
bjork,4.3076923076923075,13
buddies,4.3076923076923075,13
selkies,4.3076923076923075,13
denis villeneuve,4.306930693069307,202
miyazaki,4.306306306306307,111
original idea,4.3061224489795915,49
dreamlike,4.305809495723976,3391
self-mocking,4.305555555555555,18
darkly funny,4.305555555555555,36
revealing,4.305555555555555,18
toplist21,4.305555555555555,18
great adaptations,4.305555555555555,18
postmodern,4.305555555555555,108
mindfuck,4.30528511821975,4314
spiritual,4.304347826086956,115
olivia colman,4.304347826086956,23
kindness of strangers,4.303030303030303,33
not predictable,4.302631578947368,38
important,4.302631578947368,38
ambitious,4.302238805970149,134
stanley kubrick,4.301906779661017,944
unusual story,4.301724137931035,58
firefly,4.301075268817204,93
great plot,4.300970873786408,103
clever script,4.300411522633745,243
mkv hd,4.3,10
